model,M,param,u,x_star,x_plus,Ccrit_exact,Ccrit_numeric,tail_mean,CR_scale,shape_fn,Ccrit_over_CR,tail_over_CR,tail_over_Ccrit,gap
Hayward,10.0,0.25,0.025,1.4999997943910062,1.9996874022901348,1631.2102280687989,1631.210228038648,1633.0816660474006,1632.419427810796,1.2980758550960365,0.9992592591576671,1.0004056789727704,1.0011472696445862,0.4996876078991286
Hayward,10.0,0.5,0.05,1.4999967175087665,1.9987484340727184,1627.5826188981518,1627.5826188896522,1629.4505145791722,1632.419427810796,1.2951890954404666,0.9970370305386952,0.9981812803860064,1.0011476503001027,0.4987517165639519
Hayward,10.0,0.75,0.075,1.4999834427983978,1.9971795506745955,1621.536510898953,1621.5365108988008,1623.3985083621303,1632.419427810796,1.290377755567767,0.9933332593778073,0.9944738960496424,1.0011482920370045,0.4971961078761977
Hayward,10.0,1.0,0.1,1.4999479331129482,1.994974778877864,1613.0715570560997,1613.0715570560146,1614.9252991303017,1632.419427810796,1.2836415593320927,0.988147733097833,0.9892833126202405,1.001149200149301,0.49502684576491585
Hayward,10.0,1.25,0.125,1.4998736847776784,1.9921256161435803,1602.1868573595484,1602.186857329363,1604.0299803729172,1632.419427810796,1.2749797905282079,0.9814799003637247,0.9826089747804881,1.0011503795608498,0.49225193136590195
Hayward,10.0,1.5,0.15,1.4997400380599373,1.9886208840749744,1588.880547716115,1588.880547686068,1590.710659291464,1632.419427810796,1.264390965757889,0.9733286192549975,0.9744497230253706,1.0011518245207167,0.4888808460150371
Hayward,10.0,1.75,0.175,1.4995225270940642,1.9844465302142789,1573.1492736880075,1573.1492736714763,1574.9639710667464,1632.419427810796,1.2518724156443566,0.9636918348844485,0.9648034961081651,1.0011535443006527,0.48492400312021466
Hayward,10.0,2.0,0.2,1.4991932397213397,1.979585369861985,1554.9875471443695,1554.9875471442062,1556.784404145806,1632.419427810796,1.2374197728718401,0.9525661852908301,0.9536669177195334,1.001155544303063,0.4803921301406453
Hayward,10.0,2.25,0.225,1.498721157592966,1.9740167565707325,1534.386979661812,1534.386979651067,1536.163562094075,1632.419427810796,1.221026362145104,0.939946531829474,0.9410348443072576,1.001157845091109,0.4752955989777665
Hayward,10.0,2.5,0.25,1.498072448632584,1.96771616598499,1511.3353801025637,1511.335380080406,1513.0892149943825,1632.419427810796,1.2026824820649578,0.9258254063598008,0.9268997839749771,1.0011604538045684,0.46964371735240595
Hayward,10.0,2.75,0.275,1.4972106867892088,1.960654672374714,1485.815694755269,1485.815694748176,1487.5442521030236,1632.419427810796,1.1823745617190988,0.9101923619886502,0.9112512548922176,1.0011633726537255,0.46344398558550526
