Mass_Msun,Mass_Pl,Entropy_S,Temperature_T_pl,Coeff_C,Invariant_I,Log10_TauSat_Pl
6.3,5.75505e+38,4.162057408845456e+78,6.913708095146669e-41,12.566370614359172,0.5,1.807558566026128e+78
21.2,1.93662e+39,4.713013559666168e+79,2.0545453301615098e-41,12.566370614359172,0.5,2.0468357820982188e+79
4300000.0,3.92805e+44,1.93893780522934e+90,1.0129386278935816e-46,12.566370614359172,0.5,8.420699895647044e+89
6500000000.0,5.93775e+47,4.430509587395327e+96,6.700978615296003e-50,12.566370614359172,0.5,1.9241458658252436e+96
66000000000.0,6.0291e+48,4.5678816006376433e+98,6.599448636276367e-51,12.566370614359172,0.5,1.983805773144322e+98
