model,M,u_min,u_max,n_rows,Ccrit_over_CR_min,Ccrit_over_CR_max,tail_over_Ccrit_mean
Hayward,10.0,0.025,0.75,30,0.18098076095898,0.9992592591576671,1.0012058565017088
Bardeen,10.0,0.0,0.755,32,0.12988280093719806,1.0000000000000002,1.0012579640144188
