u,hayward_x_star,bardeen_x_star,hayward_x_plus,bardeen_x_plus,hayward_gap,bardeen_gap,hayward_shape_fn,bardeen_shape_fn,hayward_Ccrit_over_CR,bardeen_Ccrit_over_CR,bardeen_over_hayward_shape_fn,bardeen_over_hayward_Ccrit_over_CR,delta_x_star,delta_x_plus,delta_gap
0.025,1.4999997943910062,1.4995822910829582,1.9996874022901348,1.999061472421591,0.4996876078991286,0.49947918133863267,1.2980758550960365,1.2968730403822684,0.9992592591576671,0.9983333319592949,0.9990733864211047,0.9990733864211048,-0.0004175033080480173,-0.0006259298685438175,-0.00020842656049591124
0.02681704260651629,1.4999995707579612,1.4995519312869827,1.9996191564798464,1.9989932586376964,0.49961958572188514,0.4994413273507137,1.2978660404844788,1.2967156797468364,0.9990977437943834,0.9982121956856597,0.9991136521784536,0.9991136521784539,-0.0004476394709784781,-0.0006258978421500583,-0.00017825837117141363
0.02863408521303258,1.4999993471249162,1.4995215714910073,1.999550910669558,1.998925044853802,0.49955156354464175,0.49940347336279484,1.2976562258729212,1.2965583191114047,0.9989362284310997,0.9980910594120245,0.9991539309567309,0.9991539309567312,-0.00047777563390893896,-0.000625865815755855,-0.00014809018184691602
0.030451127819548875,1.4999991234918713,1.4994912116950316,1.9994826648592696,1.9988568310699075,0.4994835413673983,0.4993656193748759,1.2974464112613633,1.2964009584759728,0.9987747130678161,0.9979699231383893,0.9991942227622533,0.9991942227622536,-0.0005079117968396218,-0.0006258337893620958,-0.00011792199252241842
0.03226817042606516,1.4999988998588263,1.4994608518990562,1.999414419048981,1.9987886172860132,0.4994155191901549,0.49932776538695695,1.2972365966498056,1.296243597840541,0.9986131977045324,0.997848786864754,0.999234527601342,0.999234527601342,-0.0005380479597700827,-0.0006258017629678925,-8.775380319797632e-05
0.034085213032581455,1.4999986762257813,1.4994304921030808,1.9993461732386928,1.9987204035021189,0.4993474970129115,0.49928991139903806,1.297026782038248,1.2960862372051092,0.9984516823412487,0.9977276505911188,0.9992748454803217,0.999274845480322,-0.0005681841227005435,-0.0006257697365739112,-5.75856138734232e-05
0.03590225563909774,1.4999984525927363,1.4994001323071053,1.9992779274284043,1.9986521897182243,0.4992794748356681,0.4992520574111191,1.2968169674266903,1.2959288765696775,0.998290166977965,0.9976065143174836,0.9993151764055224,0.9993151764055225,-0.0005983202856310044,-0.00062573771017993,-2.7417424548981106e-05
0.037719298245614034,1.4999982289596911,1.49936977251113,1.999209681618116,1.99858397593433,0.49921145265842465,0.49921420342320016,1.2966071528151326,1.2957715159342456,0.9981286516146815,0.9974853780438484,0.9993555203832767,0.9993555203832768,-0.0006284564485612432,-0.0006257056837859487,2.750764775516501e-06
0.03953634085213033,1.4999980053266462,1.4993394127151545,1.9991414358078274,1.9985157621504357,0.49914343048118126,0.4991763494352812,1.2963973382035747,1.2956141552988136,0.9979671362513978,0.9973642417702131,0.9993958774199225,0.9993958774199225,-0.000658592611491704,-0.0006256736573917454,3.29189540999586e-05
0.041353383458646614,1.4999977816936012,1.4993090529191788,1.9990731899975391,1.9984475483665411,0.4990754083039378,0.49913849544736233,1.296187523592017,1.295456794663382,0.9978056208881141,0.9972431054965779,0.9994362475218014,0.9994362475218014,-0.0006887287744223869,-0.0006256416309979862,6.308714342451172e-05
0.04317042606516291,1.4999975580605562,1.4992786931232034,1.9990049441872506,1.9983793345826468,0.4990073861266944,0.4991006414594434,1.2959777089804594,1.29529943402795,0.9976441055248304,0.9971219692229427,0.9994766306952586,0.9994766306952588,-0.0007188649373528477,-0.0006256096046037829,9.325533274900932e-05
0.0449874686716792,1.4999973344275113,1.499248333327228,1.9989366983769623,1.9983111207987525,0.498939363949451,0.49906278747152444,1.2957678943689017,1.2951420733925183,0.9974825901615467,0.9970008329493074,0.9995170269466445,0.9995170269466445,-0.0007490011002833086,-0.0006255775782098016,0.00012342352207345142
0.04680451127819549,1.4999971107944663,1.4992179735312525,1.9988684525666738,1.998242907014858,0.49887134177220754,0.49902493348360555,1.2955580797573438,1.2949847127570864,0.997321074798263,0.9968796966756722,0.9995574362823125,0.9995574362823125,-0.0007791372632137694,-0.0006255455518158204,0.00015359171139800454
0.048621553884711774,1.4999968871614213,1.499187613735277,1.9988002067563855,1.9981746932309636,0.49880331959496416,0.4989870794956866,1.2953482651457862,1.2948273521216547,0.9971595594349794,0.996758560402037,0.9995978587086208,0.9995978587086207,-0.0008092734261442303,-0.0006255135254218391,0.00018375990072244663
0.050438596491228074,1.499996484619111,1.4991423775562875,1.998720909802576,1.9980733304604383,0.498724425183465,0.4989309529041507,1.2951046859690156,1.2945940223938102,0.9969720520972761,0.9965789430937958,0.9996056970677831,0.999605697067783,-0.000854107062823406,-0.0006475793421376608,0.0002065277206856897
0.05225563909774436,1.4999955197905377,1.4990503870306833,1.998606880683414,1.9978677851605016,0.49861136089287633,0.4988173981298184,1.2947549895872907,1.2941219326612405,0.9967028556971114,0.9962155282482213,0.9995110604468479,0.9995110604468479,-0.0009451327598544168,-0.000739095522912514,0.00020603723694206932
0.05407268170426065,1.4999945549619647,1.4989583965050788,1.9984928515642524,1.997662239860565,0.49849829660228767,0.4987038433554862,1.2944052932055656,1.2936498429286707,0.9964336592969465,0.995852113402647,0.9994163726918761,0.9994163726918761,-0.0010361584568858717,-0.0008306117036873673,0.00020554675319850446
0.05588972431077694,1.4999935901333914,1.4988664059794743,1.9983788224450905,1.9974566945606282,0.498385232311699,0.4985902885811539,1.2940555968238405,1.293177753196101,0.9961644628967817,0.9954886985570726,0.9993216337614133,0.9993216337614131,-0.0011271841539171046,-0.0009221278844622205,0.0002050562694548841
