M,g,beta,beta_c,g_c,beta_over_beta_c,Ccrit_numeric,Ccrit_analytic,Ccrit_small_beta,Ccrit_near_extremal,x_star_analytic,y_star_analytic,x_plus_analytic,y_plus_analytic,x_star_near_extremal,y_star_near_extremal,x_plus_near_extremal,y_plus_near_extremal,tail_mean,tail_mean_ratio_to_cr,tail_mean_ratio_to_Ccrit,late_slope,cr_slope,rel_err_analytic,rel_err_small_beta,rel_err_near_extremal,t_near_extremal
10.0,0.0,0.0,0.769800358919501,7.698003589195011,0.0,1632.4194278020857,1632.4194278107962,1632.4194278107962,584.1568307578586,1.5,1.5,2.0,2.0,0.5000000000000004,-0.5000000000000004,2.026263355115751,2.026263355115751,1634.292028968114,1.001147132364033,1.001147132369375,1635.1019713648575,1632.419427810796,5.3359191787386836e-12,5.3359191787386836e-12,0.6421527330482851,0.5925925925925927
10.0,0.5,0.05,0.769800358919501,7.698003589195011,0.0649519052838329,1626.9780252294922,1626.9780252320788,1626.9780297180935,590.7265284770626,1.4991645821659163,1.4999981481390923,1.9981229448431816,1.9987484340728796,0.47916158430676825,-0.4817632446289071,2.0241948270987398,2.0248122624217033,1628.8451709116528,0.9978104543242685,1.001147615796407,1629.6526639431409,1632.419427810796,1.5898204473151113e-12,2.7588579348296464e-09,0.6369179427646307,0.5900925925925927
10.0,1.0,0.1,0.769800358919501,7.698003589195011,0.1299038105676658,1610.65354685827,1610.6535468697389,1610.6538354399856,609.9264208112693,1.4966332566682492,1.4999703680291185,1.9924669052104411,1.9949747788778867,0.4157289610761948,-0.4275869140625006,2.0179677217813166,2.020443942838127,1612.5043101406636,0.9878002446363677,1.0011490759673325,1613.304456654388,1632.419427810796,7.1206843864115515e-12,1.791705710300072e-07,0.6213174322926319,0.5825925925925927
10.0,1.5000000000000002,0.15000000000000002,0.769800358919501,7.698003589195011,0.19485571585149872,1583.4435291582774,1583.44352915871,1583.4468449764722,640.2404835011021,1.492330339569967,1.4998499399609992,1.9829556274862996,1.9886208840750879,0.304089417494739,-0.33907281494140706,2.007515904185244,2.0131120449584268,1585.266904537199,0.9711149460302416,1.0011515253593481,1586.0547908003366,1632.419427810796,2.731166111891062e-13,2.0940552244013045e-06,0.5956657299667394,0.5700925925925927
10.0,2.0,0.2,0.769800358919501,7.698003589195011,0.2598076211353316,1545.3381888149488,1545.3381888216732,1545.3570583275537,679.1808235116073,1.4861279222936477,1.499525325368276,1.969456330201614,1.979585369861883,0.08895563901681959,-0.21889062500000023,1.9927236617261177,2.0027350279063745,1547.1230948932312,0.9477485188766995,1.0011550261885724,1547.89376400955,1632.419427810796,4.351377016518792e-12,1.2210603958038253e-05,0.5604969653714176,0.5525925925925926
10.0,2.5,0.25,0.769800358919501,7.698003589195011,0.3247595264191645,1496.3112356743484,1496.3112356944941,1496.3844754932297,723.3466603716995,1.4778424661925973,1.4988390023222034,1.9517701990447673,1.9677161659851379,0.0,-0.0707778930664067,1.9734165230098142,1.989188973749891,1498.0464129759634,0.9176847490629063,1.0011596366185362,1498.7948541224202,1632.419427810796,1.3463617669449684e-11,4.894691501019198e-05,0.5165800783112439,0.5300925925925927
10.0,3.0000000000000004,0.30000000000000004,0.769800358919501,7.698003589195011,0.38971143170299744,1436.3053858510302,1436.3053858813182,1436.5290964735007,768.5083672287334,1.4672284312309127,1.4975844782222887,1.9296168431008227,1.9527982899363634,0.0,0.10045996093749943,1.9493462045146113,1.9722957752465833,1437.9793411039652,0.8808884019668951,1.001165459149165,1438.7004462968068,1632.419427810796,2.1087432280633003e-11,0.00015575421820052793,0.4649408302723993,0.5025925925925927
10.0,3.5000000000000004,0.35000000000000003,0.769800358919501,7.698003589195011,0.4546633369868303,1365.210157330394,1365.2101573410187,1365.7909212683662,809.717831080319,1.4539670165479204,1.495499944904466,1.9026096113981295,1.9345343970538598,0.0,0.28894964599609363,1.9201666293940056,1.9518042639154,1366.8110221106615,0.837291567856224,1.0011726141734822,1367.4995617101565,1632.419427810796,7.782477334396264e-12,0.000425402590842084,0.40689143958342266,0.4700925925925926
10.0,4.0,0.4,0.769800358919501,7.698003589195011,0.5196152422706632,1282.827244015483,1282.8272440204548,1284.1699498778262,841.4461513140658,1.4376468184770912,1.4922561357479158,1.870216019081506,1.9125135183911972,0.27910582670377815,0.48774999999999946,1.8853953403419512,1.927359745709955,1284.3426615927801,0.7867724677322577,1.0011813107215852,1284.9932095254833,1632.419427810796,3.875621452877178e-12,0.001046677070982836,0.34406900442791816,0.43259259259259264
10.0,4.5,0.45,0.769800358919501,7.698003589195011,0.5845671475544961,1188.814010530331,1188.8140105473526,1191.6661823018812,857.7481065872773,1.4177307532335957,1.4874341964148527,1.8316921377066884,1.8861590832526556,0.5215525513092156,0.6888519897460934,1.8443492791892684,1.8984531239000804,1190.2308864174956,0.7291207554505093,1.0011918398291189,1190.8377297339482,1632.419427810796,1.431817587970541e-11,0.0023991740897114076,0.2784841876109492,0.39009259259259266
