metric,M,ell,lambda,ell_crit,ell_over_ellcrit,Ccrit_numeric,Ccrit_analytic,Ccrit_small_lambda,Ccrit_near_extremal,x_star_analytic,x_plus_analytic,x_star_near_extremal,x_plus_near_extremal,tail_mean,tail_mean_ratio_to_cr,tail_mean_ratio_to_Ccrit,late_slope,cr_slope,rel_err_analytic,rel_err_small_lambda,rel_err_near_extremal,t_near_extremal
schwarzschild,10.0,0.0,0.0,7.69800358919501,0.0,1632.4194278020855,1632.4194278107962,1632.4194278107962,1457.0108473190096,1.5,2.0,1.0370370370370368,2.026263355115751,1634.292030434277,1.0011471332621864,1.0011471332675284,1635.1019708189624,1632.419427810796,5.3360584650468294e-12,5.3360584650468294e-12,0.10745313213972751,0.5925925925925927
hayward,10.0,0.25,0.025,7.69800358919501,0.03247595264191645,1631.210228038648,1631.2102280687989,1631.21022823464,1456.3427204272177,1.4999997943910062,1.9996874022901348,1.0381299630624272,2.025900814627203,1633.0816660474006,1.0004056789727704,1.0011472696630912,1633.8910715523043,1632.419427810796,1.8483752562294153e-11,1.201512914381165e-10,0.10720108579854193,0.5919675925925927
hayward,10.0,0.5,0.05,7.69800358919501,0.0649519052838329,1627.5826188896522,1627.5826188981518,1627.5826295061715,1454.3317658306898,1.4999967175087663,1.9987484340727182,1.0413988534432868,2.0248122624217033,1629.4505145791722,0.9981812803860064,1.001147650305331,1630.2583217899974,1632.419427810796,5.222274210090448e-12,6.5228758604337875e-09,0.10644673336285394,0.5900925925925927
hayward,10.0,0.75,0.075,7.69800358919501,0.09742785792574934,1621.5365108988008,1621.536510898953,1621.5366316253908,1450.958273556268,1.4999834427983978,1.9971795506745953,1.0468140450936776,2.022994887662302,1623.3985083621303,0.9944738960496424,1.0011482920370984,1624.2036496287546,1632.419427810796,9.394815443441653e-14,7.445197144844871e-08,0.10519543420455144,0.5869675925925927
hayward,10.0,1.0,0.1,7.69800358919501,0.1299038105676658,1613.0715570560146,1613.0715570560997,1613.0722345922977,1446.1894321784284,1.4999479331129482,1.994974778877864,1.054326099537037,2.020443942838127,1614.9252991303015,0.9892833126202404,1.0011492001493536,1615.7267042057413,1632.419427810796,5.2717905937768524e-14,4.200286590687602e-07,0.10345612018735208,0.5825925925925927
hayward,10.0,1.25,0.125,7.69800358919501,0.16237976320958225,1602.186857329363,1602.1868573595484,1602.1894384068926,1439.979383847041,1.4998736847776784,1.9921256161435803,1.0638658029061774,2.0171526470041212,1604.0299803729172,0.9826089747804881,1.0011503795797116,1604.8265819806766,1632.419427810796,1.8840153938806097e-11,1.610971602846968e-06,0.10124129575791227,0.5769675925925927
hayward,10.0,1.5,0.15,7.69800358919501,0.1948557158514987,1588.880547686068,1588.880547716115,1588.888243069175,1432.2692955418156,1.4997400380599373,1.9886208840749746,1.075344165943287,2.0131120449584268,1590.710659291464,0.9744497230253706,1.0011518245396491,1591.5013785184888,1632.419427810796,1.8910783762964748e-11,4.84327353502277e-06,0.0985670397767345,0.5700925925925927
hayward,10.0,1.75,0.175,7.69800358919501,0.22733166849341516,1573.1492736714765,1573.1492736880077,1573.1686485791452,1422.987440153583,1.4995225270940642,1.9844465302142789,1.0886524239999273,2.0083108165453982,1574.9639710667464,0.9648034961081651,1.0011535443111732,1575.747725170927,1632.419427810796,1.0508349938413045e-11,1.2316000771761837e-05,0.09545301010592591,0.5619675925925927
hayward,10.0,2.0,0.2,7.69800358919501,0.2598076211353316,1554.9875471442062,1554.9875471443695,1555.0306549368029,1412.0492782014892,1.4991932397213397,1.979585369861985,1.103662037037037,2.0027350279063745,1556.784404145806,0.9536669177195334,1.001155544303168,1557.5601067413168,1632.419427810796,1.049875282075817e-13,2.7722275124195256e-05,0.09192245250145484,0.5525925925925926
hayward,10.0,2.25,0.225,7.69800358919501,0.29228357377724806,1534.386979651067,1534.386979661812,1534.4742621421483,1399.3575273209876,1.498721157592966,1.9740167565707325,1.1202246896249275,1.9963678134957532,1536.163562094075,0.9410348443072576,1.00115784509812,1536.9301189249682,1632.419427810796,7.002795202853145e-12,5.688427511372971e-05,0.08800221464391346,0.5419675925925926
hayward,10.0,2.5,0.25,7.69800358919501,0.3247595264191645,1511.335380080406,1511.3353801025637,1511.4994701951816,1384.8022016902705,1.498072448632584,1.96771616598499,1.1381722909432868,1.989188973749891,1513.0892149943825,0.9268997839749771,1.0011604538192465,1513.8455125597472,1632.419427810796,1.466106883863168e-11,0.00010857293287674359,0.08372276601068096,0.5300925925925927
hayward,10.0,2.75,0.275,7.69800358919501,0.35723547906108094,1485.815694748176,1485.815694755269,1486.1062790959027,1368.260596706414,1.4972106867892088,1.960654672374714,1.1573169747811776,1.9811744680294623,1487.5442521030236,0.9112512548922176,1.001163372658505,1488.2891588570449,1632.419427810796,4.7739091760834125e-12,0.00019557226966564325,0.07911822338213076,0.5169675925925926
hayward,10.0,3.0,0.3,7.69800358919501,0.3897114317029974,1457.8047559835945,1457.8047559979923,1458.2946888443112,1349.597184589278,1.496096976989742,1.9527982899364444,1.1774510995370369,1.9722957752465833,1459.505471734367,0.8940750439926335,1.001166627934085,1460.2378472152927,1632.419427810796,9.876326591280765e-12,0.0003360757733199142,0.07422638110499778,0.5025925925925927
hayward,10.0,3.25,0.325,7.69800358919501,0.4221873843449139,1427.2717884165934,1427.2717884165945,1428.0646994404076,1328.6633728299971,1.4946899655058026,1.9441071407740511,1.1983472482186777,1.9625190845243672,1428.9420174939573,0.8753522490297007,1.0011702249641024,1429.6606882808996,1632.419427810796,7.965325079937263e-16,0.0005555431209733808,0.06908874426502316,0.48696759259259265
hayward,10.0,3.5,0.35,7.69800358919501,0.4546633369868303,1394.1765976628506,1394.1765976764698,1395.416310884192,1305.2970574118517,1.4929457167015752,1.9345343970537616,1.2197582284432869,1.9518042639154,1395.8136434760395,0.8550582158581245,1.0011742026196202,1396.5174051270842,1632.419427810796,9.76865372330128e-12,0.0008892081701985259,0.06375056101213679,0.4700925925925927
hayward,10.0,3.75,0.375,7.69800358919501,0.48713928962874675,1358.4673338966484,1358.467333896649,1360.3495231756635,1279.3218731784539,1.4908174356487605,1.9240249238726523,1.2414170724374274,1.9401035344177422,1360.0683760470308,0.8331611060712445,1.0011785650714102,1360.7559913163248,1632.419427810796,5.021254536707113e-16,0.0013855241359512598,0.0582608493729271,0.45196759259259267
hayward,10.0,4.0,0.4,7.69800358919501,0.5196152422706632,1320.0776723427375,1320.0776723427687,1322.864336314823,1250.545999181517,1.488255011516549,1.9125135183912851,1.263037037037037,1.927359745709955,1321.6397968390825,0.8096202325964145,1.0011833580167844,1322.3099803927932,1632.419427810796,2.359724294134954e-14,0.0021109848537473187,0.052672410584615824,0.43259259259259264
hayward,10.0,4.25,0.425,7.69800358919501,0.5520911949125796,1278.9231807485637,1278.9231807542283,1282.96075030167,1218.76030825136,1.4852043479886736,1.899922593755587,1.2843116036874276,1.913504103281163,1280.443329576038,0.7843837850503985,1.0011886162127301,1281.094739899046,1632.419427810796,4.429163894739736e-12,0.003157007093063324,0.04704181877600343,0.4119675925925927
hayward,10.0,4.5,0.45,7.69800358919501,0.5845671475544961,1234.896528770438,1234.8965287704584,1240.6387651362052,1183.7355418385312,1.4816064326663234,1.8861590832526427,1.304914478443287,1.8984531239000804,1236.3714658798972,0.7573859051273174,1.001194381128375,1237.0026934849511,1632.419427810796,1.6571129898847573e-14,0.004649973687661624,0.041429371400733286,0.39009259259259266
hayward,10.0,4.75,0.475,7.69800358919501,0.6170431001964125,1187.8610127806335,1187.8610127835414,1195.8983808184278,1145.218015762731,1.4773960750240591,1.8711102231911776,1.3244995919686775,1.8821044799253177,1189.287303276969,0.728542728060948,1.001200721701436,1189.8968503345163,1632.419427810796,2.4479984644302017e-12,0.006766252912855373,0.03589897854975517,0.3669675925925927
hayward,10.0,5.0,0.5,7.69800358919501,0.649519052838329,1137.6415678279423,1137.641567830788,1148.739597348338,1102.9230690333418,1.4725002077751892,1.8546376797182862,1.3427010995370368,1.8643312003944321,1139.015504493457,0.6977468444007477,1.0012077061038986,1139.6017711709694,1632.419427810796,2.5014987165780976e-12,0.009755295370917991,0.030517959062349692,0.34259259259259267
hayward,10.0,5.25,0.525,7.69800358919501,0.6819950054802455,1084.0119185992762,1084.0119186041493,1099.162414725936,1056.5249587080045,1.46683559218312,1.8365691531331196,1.3591333810311776,1.8449733662731798,1085.3294725875744,0.6648594436560262,1.001215442344952,1085.8907184608925,1632.419427810796,4.495405012147994e-12,0.013976318771694696,0.0253566952721234,0.31696759259259266
hayward,10.0,5.5,0.55,7.69800358919501,0.7144709581221619,1026.6755864847712,1026.6755865143725,1047.1668329512217,1005.6409817635442,1.460305680862434,1.8166859990186208,1.373391040943287,1.8238258446221525,1027.9323174950543,0.629698654636568,1.0012240780114252,1028.4666287382813,1632.419427810796,2.8832208000538227e-11,0.019958832893465804,0.020488073348707194,0.2900925925925926
hayward,10.0,5.75,0.575,7.69800358919501,0.7469469107640784,965.2366969278836,965.2366969316811,992.7528520241956,949.8058488445496,1.4527962479968606,1.79470428447108,1.3850489083749276,1.800619488007135,966.4275688914109,0.5920216045134106,1.001233761591657,966.9328037711927,1632.419427810796,3.93424892826973e-12,0.02850715807209703,0.015986594927903896,0.2619675925925927
hayward,10.0,6.0,0.6,7.69800358919501,0.7794228634059948,899.1529544741263,899.1529544865938,935.9204719448567,888.4287792227678,1.4441691505771996,1.7702444482667299,1.3936620370370367,1.7749909803108093,900.2722307002166,0.551495660589848,1.0012448118204147,900.7459330926357,1632.419427810796,1.3865791127865088e-11,0.04089128249846435,0.011926975491762196,0.23259259259259268
hayward,10.0,6.25,0.625,7.69800358919501,0.8118988160479113,827.6553690773168,827.6553690938254,876.6696927132054,820.7180247170965,1.4342531427753502,1.7427798640963568,1.3987657052499274,1.746431647887379,828.6962359377574,0.5076490893330673,1.0012576090234284,829.1355136415887,1632.419427810796,1.9946199842571684e-11,0.05922069192945684,0.008381923949764482,0.20196759259259267
hayward,10.0,6.5,0.65,7.69800358919501,0.8443747686898277,749.6006567821543,749.6006567961734,815.000514329242,745.5388919305159,1.4228298316100405,1.7115430027644238,1.399875415943287,1.714193965721519,750.5547488509412,0.4597805784861889,1.0012728004706968,750.9560649460832,1632.419427810796,1.870219640279418e-11,0.08724626500173145,0.0054185716286249,0.17009259259259263
hayward,10.0,6.75,0.675,7.69800358919501,0.8768507213317441,663.1715073995672,663.171507420659,750.9129367929662,661.1205924572212,1.4096111850393784,1.675336531413674,1.3964868966561774,1.677103158773254,664.028008389509,0.4067753648828005,1.0012915226006924,664.3867993616155,1632.419427810796,3.1804539278000805e-11,0.13230578879579935,0.003092586034626379,0.1369675925925926
hayward,10.0,7.0,0.7,7.69800358919501,0.9093266739736606,565.1755656185815,565.1755656211618,684.4069601043785,564.3627831674381,1.3942013618152154,1.632095745149885,1.388076099537037,1.6331204209836683,565.9193200930625,0.346675192938622,1.0013159706819015,566.2292214157749,1632.419427810796,4.5655727401154375e-12,0.21096346292907936,0.0014381061400871936,0.10259259259259274
hayward,10.0,7.25,0.725,7.69800358919501,0.941802626615577,448.99867641020705,448.99867642062696,615.4825842634782,448.7967984184659,1.3760269180825366,1.5776244880501098,1.3740992013436777,1.5780802123007571,449.6055263509411,0.2754227980206642,1.0013515628722691,449.85642841777616,1632.419427810796,2.320699551113194e-11,0.37078930651717723,0.0004496182335216761,0.06696759259259266
hayward,10.0,7.5,0.75,7.69800358919501,0.9742785792574935,295.43651021960255,295.43651024942056,544.1398092702655,295.4226725146824,1.3541957562607085,1.4999999999999125,1.353992603443287,1.5000980123130374,295.85554430605305,0.1812374560518548,1.0014183557954264,296.0262950758726,1632.419427810796,1.0092866026997376e-10,0.8418163986089529,4.683816807158899e-05,0.03009259259259267
