u,hayward_x_star,bardeen_x_star,hayward_x_plus,bardeen_x_plus,hayward_gap,bardeen_gap,hayward_shape_fn,bardeen_shape_fn,hayward_Ccrit_over_CR,bardeen_Ccrit_over_CR,bardeen_over_hayward_shape_fn,bardeen_over_hayward_Ccrit_over_CR,delta_x_star,delta_x_plus,delta_gap
0.0,1.5,1.5,2.0,2.0,0.5,0.5,1.299038105676658,1.299038105676658,1.0000000000000002,1.0000000000000002,1.0,1.0,0.0,0.0,0.0
0.0018796992481203006,1.499999984540677,1.4999685933145082,1.9999764964127922,1.999929434016661,0.49997651187211495,0.49996084070215285,1.298965756008942,1.2988753188124182,0.9999443051998248,0.999874686613481,0.9999303775360471,0.999930377536047,-3.139122616890866e-05,-4.706239613128105e-05,-1.5671169962094833e-05
0.0037593984962406013,1.4999999690813544,1.4999371866290163,1.9999529928255841,1.999858868033322,0.49995302374422984,0.49992168140430565,1.2988934063412263,1.2987125319481783,0.9998886103996494,0.9997493732269618,0.9998607473160115,0.9998607473160116,-6.278245233803936e-05,-9.4124792262118e-05,-3.1342339924189666e-05
0.005639097744360902,1.4999999536220314,1.4999057799435245,1.9999294892383763,1.999788302049983,0.4999295356163448,0.4998825221064585,1.2988210566735103,1.2985497450839385,0.999832915599474,0.9996240598404427,0.9997911093385976,0.9997911093385978,-9.417367850694802e-05,-0.00014118718839339905,-4.70135098862845e-05
0.007518796992481203,1.4999999381627087,1.4998743732580326,1.9999059856511683,1.9997177360666438,0.49990604748845974,0.4998433628086113,1.2987487070057944,1.2983869582196987,0.9997772207992985,0.9994987464539234,0.9997214636025089,0.9997214636025089,-0.00012556490467607873,-0.00018824958452445806,-6.268467984843484e-05
0.009398496240601503,1.4999999227033858,1.4998429665725406,1.9998824820639605,1.9996471700833047,0.49988255936057463,0.49980420351076416,1.2986763573380784,1.298224171355459,0.9997215259991231,0.9993734330674042,0.9996518101064484,0.9996518101064484,-0.00015695613084520943,-0.0002353119806557391,-7.835584981047417e-05
0.011278195488721804,1.4999999072440628,1.4998115598870487,1.9998589784767524,1.9995766040999658,0.4998590712326896,0.499765044212917,1.2986040076703627,1.298061384491219,0.9996658311989477,0.999248119680885,0.9995821488491191,0.9995821488491192,-0.0001883473570141181,-0.00028237437678657606,-9.4027019772569e-05
0.013157894736842105,1.4999998917847401,1.4997801532015569,1.9998354748895446,1.9995060381166267,0.4998355831048045,0.4997258849150698,1.2985316580026467,1.2978985976269792,0.9996101363987723,0.9991228062943659,0.999512479829224,0.9995124798292242,-0.0002197385831832488,-0.0003294367729178571,-0.00010969818973471934
0.015037593984962405,1.4999998763254172,1.499748746516065,1.9998119713023368,1.9994354721332877,0.4998120949769195,0.49968672561722266,1.2984593083349307,1.2977358107627395,0.9995544415985969,0.9989974929078467,0.9994428030454654,0.9994428030454655,-0.00025112980935215745,-0.00037649916904913816,-0.00012536935969681418
0.016917293233082706,1.4999998608660945,1.4997173398305732,1.9997884677151287,1.9993649061499488,0.49978860684903437,0.4996475663193755,1.298386958667215,1.2975730238984995,0.9994987467984214,0.9988721795213275,0.9993731184965451,0.9993731184965454,-0.00028252103552128816,-0.0004235615651799751,-0.0001410405296588535
0.018796992481203006,1.4999998454067716,1.4996859331450814,1.999764964127921,1.9992943401666097,0.4997651187211493,0.4996084070215283,1.298314608999499,1.2974102370342597,0.999443051998246,0.9987468661348082,0.9993034261811656,0.9993034261811657,-0.0003139122616901968,-0.00047062396131125617,-0.00015671169962100384
