M,g,beta,beta_c,g_c,g_over_g_c,Ccrit_numeric,Ccrit_analytic,Ccrit_small_beta,Ccrit_near_extremal,x_star_analytic,y_star_analytic,x_plus_analytic,y_plus_analytic,x_star_near_extremal,y_star_near_extremal,x_plus_near_extremal,y_plus_near_extremal,tail_mean,tail_mean_ratio_to_cr,tail_mean_ratio_to_Ccrit,late_slope,cr_slope,rel_err_analytic,rel_err_small_beta,rel_err_near_extremal,t_near_extremal
10.0,0.0,0.0,0.769800358919501,7.698003589195011,0.0,1632.4194278020857,1632.4194278107962,1632.4194278107962,584.1568307578586,1.5,1.5,2.0,2.0,0.5000000000000004,-0.5000000000000004,2.026263355115751,2.026263355115751,1634.2920377457954,1.0011471377411323,1.0011471377464742,1635.1019744571013,1632.419427810796,5.3359191787386836e-12,5.3359191787386836e-12,0.6421527330482851,0.5925925925925927
10.0,0.5,0.05,0.769800358919501,7.698003589195011,0.06495190528383289,1626.978025229492,1626.978025232079,1626.9780297180935,590.7265284770626,1.4991645821659478,1.4999981481391238,1.9981229448432067,1.9987484340729047,0.47916158430676825,-0.4817632446289071,2.0241948270987398,2.0248122624217033,1628.8451683906696,0.9978104527799454,1.0011476142469191,1629.6526625662225,1632.419427810796,1.5900999516131628e-12,2.7588580745817956e-09,0.6369179427646307,0.5900925925925927
10.0,1.0,0.1,0.769800358919501,7.698003589195011,0.12990381056766578,1610.6535468582695,1610.6535468697389,1610.6538354399856,609.9264208112693,1.496633256667959,1.499970368028829,1.9924669052107358,1.9949747788781809,0.4157289610761948,-0.4275869140625006,2.0179677217813166,2.020443942838127,1612.5043058053416,0.9878002419806029,1.0011490732756787,1613.3044557627813,1632.419427810796,7.120966723573244e-12,1.791705713123444e-07,0.6213174322926318,0.5825925925925927
10.0,2.0,0.2,0.769800358919501,7.698003589195011,0.25980762113533157,1545.3381888149488,1545.3381888216732,1545.3570583275537,679.1808235116073,1.4861279222936634,1.4995253253682916,1.9694563302016175,1.9795853698618866,0.08895563901681959,-0.21889062500000023,1.9927236617261177,2.0027350279063745,1547.1230952697122,0.9477485191073272,1.0011550264321962,1547.893763794425,1632.419427810796,4.351377016518792e-12,1.2210603958038253e-05,0.5604969653714176,0.5525925925925926
10.0,3.0,0.3,0.769800358919501,7.698003589195011,0.3897114317029974,1436.30538585103,1436.3053858813182,1436.5290964735007,768.5083672287334,1.4672284312310295,1.4975844782224033,1.9296168431006928,1.952798289936235,0.0,0.10045996093749943,1.9493462045146113,1.9722957752465833,1437.9793421062877,0.8808884025809055,1.001165459847013,1438.700446963044,1632.419427810796,2.1087590585181386e-11,0.00015575421820068625,0.46494083027239924,0.5025925925925927
10.0,4.0,0.4,0.769800358919501,7.698003589195011,0.5196152422706631,1282.8272440154835,1282.8272440204546,1284.1699498778262,841.4461513140658,1.4376468184773221,1.4922561357481383,1.8702160190815822,1.9125135183912718,0.27910582670377815,0.48774999999999946,1.8853953403419512,1.927359745709955,1284.3426640789005,0.7867724692552245,1.0011813126595857,1284.993210542652,1632.419427810796,3.875089720307953e-12,0.001046677070982481,0.3440690044279184,0.43259259259259264
